id,data,mes,hora,tipo_ocorrencia,regiao,prioridade,tempo_resposta_min,idade_vitima,status
20,2025-07-21 11:32:05,Jul,11,Resgate em Altura,Região Metropolitana,Média,26,47,Concluído
21,2024-12-14 11:32:05,Dec,11,Salvamento Aquático,Centro,Baixa,22,55,Em Andamento
22,2025-08-21 11:32:05,Aug,11,Resgate em Altura,Região Metropolitana,Média,31,29,Concluído
23,2024-12-22 11:32:05,Dec,11,Incêndio Florestal,Zona Oeste,Baixa,43,56,Concluído
24,2025-12-05 11:32:05,Dec,11,Acidente Veicular,Zona Oeste,Alta,9,24,Concluído
25,2025-02-03 11:32:05,Feb,11,Vazamento de Gás,Região Metropolitana,Baixa,6,52,Concluído
26,2025-08-02 11:32:05,Aug,11,Vazamento de Gás,Zona Sul,Média,1,51,Concluído
27,2025-03-29 11:32:05,Mar,11,Incêndio em Edifício,Região Metropolitana,Alta,11,21,Concluído
28,2025-02-15 11:32:05,Feb,11,APH - Mal Súbito,Centro,Baixa,8,63,Concluído
29,2025-06-08 11:32:05,Jun,11,Acidente Veicular,Centro,Baixa,34,40,Concluído
30,2025-08-31 11:32:05,Aug,11,Salvamento Aquático,Centro,Média,33,41,Concluído
31,2025-05-24 11:32:05,May,11,Resgate em Altura,Zona Sul,Baixa,30,26,Concluído
32,2024-12-31 11:32:05,Dec,11,Incêndio Florestal,Região Metropolitana,Média,22,44,Concluído
33,2025-06-23 11:32:05,Jun,11,Resgate em Altura,Região Metropolitana,Média,27,19,Concluído
34,2025-01-07 11:32:05,Jan,11,APH - Mal Súbito,Zona Oeste,Média,21,78,Concluído
35,2025-08-05 11:32:05,Aug,11,Incêndio em Edifício,Zona Oeste,Alta,4,59,Concluído
36,2025-09-03 11:32:05,Sep,11,Salvamento Aquático,Centro,Baixa,13,80,Concluído
37,2025-07-20 11:32:05,Jul,11,APH - Mal Súbito,Zona Norte,Média,20,95,Concluído
38,2024-12-15 11:32:05,Dec,11,Incêndio Florestal,Região Metropolitana,Baixa,16,20,Em Andamento
39,2025-06-02 11:32:05,Jun,11,APH - Mal Súbito,Centro,Baixa,31,74,Concluído
40,2025-01-22 11:32:05,Jan,11,Salvamento Aquático,Zona Sul,Baixa,13,14,Concluído
41,2025-12-01 11:32:05,Dec,11,Resgate em Altura,Zona Norte,Baixa,35,37,Concluído
42,2025-01-25 11:32:05,Jan,11,APH - Mal Súbito,Zona Norte,Média,23,63,Concluído
43,2025-06-27 11:32:05,Jun,11,APH - Mal Súbito,Zona Norte,Média,33,85,Concluído
44,2025-04-21 11:32:05,Apr,11,Resgate em Altura,Zona Oeste,Baixa,25,33,Cancelado
45,2025-11-29 11:32:05,Nov,11,APH - Mal Súbito,Centro,Baixa,3,72,Concluído
46,2025-06-17 11:32:05,Jun,11,Incêndio em Edifício,Zona Sul,Alta,8,34,Concluído
47,2025-11-20 11:32:05,Nov,11,Incêndio em Edifício,Zona Oeste,Média,14,41,Concluído
48,2025-02-18 11:32:05,Feb,11,Resgate em Altura,Região Metropolitana,Alta,11,24,Concluído
49,2025-09-14 11:32:05,Sep,11,Incêndio em Edifício,Zona Sul,Alta,8,24,Concluído
50,2025-07-29 11:32:05,Jul,11,Acidente Veicular,Região Metropolitana,Alta,10,46,Concluído
51,2024-12-26 11:32:05,Dec,11,Incêndio em Edifício,Zona Sul,Alta,11,57,Concluído
52,2025-05-02 11:32:05,May,11,Salvamento Aquático,Zona Sul,Média,39,26,Concluído
53,2025-04-14 11:32:05,Apr,11,Vazamento de Gás,Região Metropolitana,Média,28,28,Concluído
54,2025-03-30 11:32:05,Mar,11,Vazamento de Gás,Região Metropolitana,Média,15,15,Concluído
55,2025-11-04 11:32:05,Nov,11,Incêndio Florestal,Centro,Média,27,11,Concluído
56,2025-04-17 11:32:05,Apr,11,APH - Mal Súbito,Centro,Média,26,49,Concluído
57,2025-10-06 11:32:05,Oct,11,Incêndio Florestal,Região Metropolitana,Baixa,40,49,Concluído
58,2025-10-22 11:32:05,Oct,11,Incêndio Florestal,Região Metropolitana,Baixa,36,33,Concluído
59,2025-08-16 11:32:05,Aug,11,Resgate em Altura,Zona Oeste,Baixa,14,30,Concluído
60,2025-10-03 11:32:05,Oct,11,Incêndio em Edifício,Centro,Alta,7,49,Concluído
61,2025-02-01 11:32:05,Feb,11,Acidente Veicular,Região Metropolitana,Alta,11,46,Concluído
62,2025-04-01 11:32:05,Apr,11,APH - Mal Súbito,Zona Norte,Alta,9,75,Concluído
63,2025-05-16 11:32:05,May,11,Vazamento de Gás,Zona Norte,Baixa,30,49,Em Andamento
64,2025-09-06 11:32:05,Sep,11,Salvamento Aquático,Zona Norte,Média,39,14,Concluído
65,2025-09-17 11:32:05,Sep,11,Acidente Veicular,Região Metropolitana,Alta,11,63,Em Andamento
66,2025-11-16 11:32:05,Nov,11,Acidente Veicular,Região Metropolitana,Alta,11,17,Concluído
67,2025-07-15 11:32:05,Jul,11,Salvamento Aquático,Centro,Média,1,20,Concluído
68,2025-03-21 11:32:05,Mar,11,Vazamento de Gás,Zona Norte,Baixa,34,35,Concluído
69,2025-09-02 11:32:05,Sep,11,Incêndio em Edifício,Região Metropolitana,Baixa,31,35,Cancelado
70,2025-06-19 11:32:05,Jun,11,Incêndio Florestal,Centro,Média,50,45,Concluído
71,2025-11-27 11:32:05,Nov,11,Resgate em Altura,Região Metropolitana,Baixa,12,39,Concluído
72,2025-06-28 11:32:05,Jun,11,Resgate em Altura,Zona Sul,Baixa,39,67,Concluído
73,2025-08-11 11:32:05,Aug,11,Resgate em Altura,Zona Sul,Baixa,13,30,Concluído
74,2025-04-18 11:32:05,Apr,11,Incêndio em Edifício,Região Metropolitana,Baixa,20,15,Concluído
75,2025-08-12 11:32:05,Aug,11,APH - Mal Súbito,Zona Sul,Alta,8,80,Concluído
76,2025-05-20 11:32:05,May,11,Vazamento de Gás,Região Metropolitana,Baixa,33,45,Concluído
77,2025-08-25 11:32:05,Aug,11,Acidente Veicular,Zona Sul,Alta,13,32,Concluído
78,2025-06-28 11:32:05,Jun,11,Vazamento de Gás,Região Metropolitana,Alta,11,32,Concluído
79,2025-01-04 11:32:05,Jan,11,Vazamento de Gás,Região Metropolitana,Média,28,49,Concluído
80,2025-03-09 11:32:05,Mar,11,Incêndio em Edifício,Região Metropolitana,Média,20,39,Em Andamento
81,2025-06-14 11:32:05,Jun,11,Incêndio Florestal,Centro,Baixa,19,10,Concluído
82,2025-12-06 11:32:05,Dec,11,Incêndio Florestal,Zona Sul,Baixa,20,39,Concluído
83,2025-08-05 11:32:05,Aug,11,Incêndio Florestal,Zona Sul,Baixa,20,13,Concluído
84,2025-09-05 11:32:05,Sep,11,Vazamento de Gás,Centro,Média,30,25,Concluído
85,2025-06-01 11:32:05,Jun,11,Acidente Veicular,Zona Oeste,Média,4,29,Concluído
86,2025-05-19 11:32:05,May,11,Acidente Veicular,Região Metropolitana,Alta,9,32,Em Andamento
87,2025-02-03 11:32:05,Feb,11,Incêndio em Edifício,Zona Norte,Alta,13,27,Concluído
88,2025-11-10 11:32:05,Nov,11,Salvamento Aquático,Zona Oeste,Baixa,32,30,Concluído
89,2025-03-31 11:32:05,Mar,11,Incêndio em Edifício,Zona Oeste,Baixa,10,55,Concluído
90,2025-02-04 11:32:05,Feb,11,Vazamento de Gás,Zona Sul,Média,13,33,Concluído
91,2025-03-15 11:32:05,Mar,11,Salvamento Aquático,Centro,Baixa,20,21,Concluído
92,2025-06-30 11:32:05,Jun,11,Vazamento de Gás,Zona Sul,Baixa,10,7,Cancelado
93,2025-07-18 11:32:05,Jul,11,Resgate em Altura,Zona Norte,Média,25,49,Concluído
94,2025-07-25 11:32:05,Jul,11,Incêndio em Edifício,Região Metropolitana,Alta,9,18,Concluído
95,2025-09-05 11:32:05,Sep,11,Acidente Veicular,Zona Norte,Média,21,21,Concluído
96,2025-09-13 11:32:05,Sep,11,APH - Mal Súbito,Zona Norte,Média,25,79,Concluído
97,2025-10-20 11:32:05,Oct,11,Salvamento Aquático,Zona Norte,Média,40,42,Concluído
98,2025-10-05 11:32:05,Oct,11,Incêndio Florestal,Zona Norte,Alta,7,24,Concluído
99,2025-07-25 11:32:05,Jul,11,Incêndio Florestal,Zona Sul,Baixa,16,43,Concluído
100,2025-08-12 11:32:05,Aug,11,Salvamento Aquático,Zona Norte,Média,25,35,Concluído
101,2025-08-10 11:32:05,Aug,11,Incêndio em Edifício,Região Metropolitana,Alta,9,37,Concluído
102,2025-05-13 11:32:05,May,11,Incêndio Florestal,Zona Norte,Baixa,19,53,Concluído
103,2025-08-29 11:32:05,Aug,11,Resgate em Altura,Zona Sul,Baixa,7,27,Concluído
104,2025-03-20 11:32:05,Mar,11,Incêndio Florestal,Zona Norte,Média,30,66,Concluído
105,2025-10-06 11:32:05,Oct,11,Acidente Veicular,Zona Norte,Alta,10,64,Concluído
106,2025-05-24 11:32:05,May,11,Incêndio Florestal,Zona Norte,Alta,9,52,Concluído
107,2025-06-24 11:32:05,Jun,11,Incêndio Florestal,Zona Sul,Baixa,16,39,Concluído
108,2025-08-04 11:32:05,Aug,11,APH - Mal Súbito,Centro,Baixa,35,64,Concluído
109,2025-01-08 11:32:05,Jan,11,Vazamento de Gás,Região Metropolitana,Média,29,57,Em Andamento
110,2025-02-15 11:32:05,Feb,11,Incêndio Florestal,Centro,Média,18,18,Em Andamento
111,2025-08-12 11:32:05,Aug,11,Incêndio Florestal,Região Metropolitana,Baixa,16,31,Concluído
112,2025-10-06 11:32:05,Oct,11,Acidente Veicular,Zona Sul,Média,28,21,Concluído
113,2025-08-22 11:32:05,Aug,11,Salvamento Aquático,Centro,Baixa,34,4,Concluído
114,2025-01-20 11:32:05,Jan,11,Salvamento Aquático,Região Metropolitana,Média,36,22,Em Andamento
115,2025-09-26 11:32:05,Sep,11,Resgate em Altura,Zona Oeste,Média,11,48,Em Andamento
116,2025-02-09 11:32:05,Feb,11,Salvamento Aquático,Região Metropolitana,Baixa,19,29,Concluído
117,2025-01-25 11:32:05,Jan,11,Incêndio em Edifício,Região Metropolitana,Alta,6,18,Concluído
118,2025-04-03 11:32:05,Apr,11,APH - Mal Súbito,Zona Oeste,Baixa,25,51,Concluído
119,2025-10-13 11:32:05,Oct,11,Incêndio em Edifício,Zona Sul,Média,30,28,Concluído
120,2025-11-17 11:32:05,Nov,11,Salvamento Aquático,Zona Sul,Baixa,26,56,Concluído
121,2025-12-09 11:32:05,Dec,11,Incêndio Florestal,Centro,Baixa,39,28,Concluído
122,2025-04-21 11:32:05,Apr,11,Vazamento de Gás,Centro,Baixa,19,79,Concluído
123,2025-05-05 11:32:05,May,11,Incêndio em Edifício,Zona Norte,Média,16,39,Concluído
124,2025-07-02 11:32:05,Jul,11,Incêndio Florestal,Região Metropolitana,Média,17,32,Concluído
125,2025-11-08 11:32:05,Nov,11,Acidente Veicular,Centro,Alta,10,47,Concluído
126,2025-07-23 11:32:05,Jul,11,Salvamento Aquático,Zona Norte,Média,32,35,Concluído
127,2025-04-13 11:32:05,Apr,11,Salvamento Aquático,Zona Oeste,Baixa,32,4,Concluído
128,2025-06-27 11:32:05,Jun,11,Incêndio em Edifício,Região Metropolitana,Média,8,28,Cancelado
129,2025-04-10 11:32:05,Apr,11,Salvamento Aquático,Centro,Baixa,23,19,Concluído
130,2025-03-29 11:32:05,Mar,11,APH - Mal Súbito,Zona Norte,Média,24,53,Concluído
131,2025-07-29 11:32:05,Jul,11,Acidente Veicular,Zona Sul,Alta,9,1,Concluído
132,2025-08-24 11:32:05,Aug,11,Incêndio em Edifício,Zona Oeste,Média,29,26,Concluído
133,2025-11-10 11:32:05,Nov,11,Salvamento Aquático,Zona Sul,Alta,8,36,Concluído
134,2025-09-29 11:32:05,Sep,11,Acidente Veicular,Zona Norte,Baixa,24,55,Concluído
135,2025-07-15 11:32:05,Jul,11,APH - Mal Súbito,Zona Sul,Média,28,92,Concluído
136,2025-09-15 11:32:05,Sep,11,Salvamento Aquático,Zona Oeste,Alta,10,26,Concluído
137,2025-07-17 11:32:05,Jul,11,Acidente Veicular,Centro,Média,36,1,Concluído
138,2025-09-04 11:32:05,Sep,11,APH - Mal Súbito,Centro,Alta,9,60,Concluído
139,2025-11-16 11:32:05,Nov,11,Vazamento de Gás,Zona Oeste,Baixa,21,51,Concluído
140,2025-03-21 11:32:05,Mar,11,Vazamento de Gás,Zona Oeste,Baixa,57,44,Concluído
141,2025-10-20 11:32:05,Oct,11,APH - Mal Súbito,Zona Oeste,Baixa,6,58,Concluído
142,2025-06-11 11:32:05,Jun,11,APH - Mal Súbito,Centro,Média,26,56,Concluído
143,2025-10-16 11:32:05,Oct,11,Incêndio Florestal,Centro,Baixa,24,51,Concluído
144,2025-03-23 11:32:05,Mar,11,Resgate em Altura,Zona Oeste,Baixa,2,75,Em Andamento
145,2025-03-25 11:32:05,Mar,11,Vazamento de Gás,Zona Norte,Média,27,40,Concluído
146,2025-04-09 11:32:05,Apr,11,Vazamento de Gás,Zona Sul,Média,25,41,Concluído
147,2025-03-30 11:32:05,Mar,11,Incêndio em Edifício,Centro,Média,19,36,Concluído
148,2025-12-08 11:32:05,Dec,11,Acidente Veicular,Zona Sul,Média,12,41,Concluído
149,2025-04-18 11:32:05,Apr,11,Acidente Veicular,Zona Norte,Média,12,48,Concluído
150,2025-07-30 11:32:05,Jul,11,Incêndio em Edifício,Região Metropolitana,Alta,10,18,Concluído
151,2025-10-29 11:32:05,Oct,11,Resgate em Altura,Zona Oeste,Média,34,37,Concluído
152,2025-06-14 11:32:05,Jun,11,APH - Mal Súbito,Zona Oeste,Média,34,84,Concluído
153,2025-03-08 11:32:05,Mar,11,Incêndio Florestal,Centro,Média,5,34,Concluído
154,2025-01-02 11:32:05,Jan,11,Incêndio Florestal,Zona Norte,Baixa,37,13,Concluído
155,2025-12-06 11:32:05,Dec,11,Vazamento de Gás,Região Metropolitana,Alta,8,45,Concluído
156,2025-12-09 11:32:05,Dec,11,Resgate em Altura,Zona Norte,Média,4,15,Concluído
157,2025-08-02 11:32:05,Aug,11,Incêndio em Edifício,Região Metropolitana,Alta,7,20,Cancelado
158,2025-03-04 11:32:05,Mar,11,Incêndio Florestal,Zona Oeste,Baixa,26,23,Concluído
159,2025-11-22 11:32:05,Nov,11,Vazamento de Gás,Zona Norte,Alta,10,27,Concluído
160,2025-02-13 11:32:05,Feb,11,Incêndio em Edifício,Zona Sul,Alta,9,42,Concluído
161,2025-05-16 11:32:05,May,11,Incêndio Florestal,Região Metropolitana,Baixa,36,42,Concluído
162,2025-08-28 11:32:05,Aug,11,Incêndio em Edifício,Zona Norte,Alta,11,44,Cancelado
163,2025-04-21 11:32:05,Apr,11,Vazamento de Gás,Centro,Baixa,1,34,Cancelado
164,2025-11-17 11:32:05,Nov,11,Resgate em Altura,Centro,Média,20,46,Em Andamento
165,2025-11-17 11:32:05,Nov,11,Incêndio Florestal,Centro,Média,29,26,Concluído
166,2025-11-23 11:32:05,Nov,11,Incêndio Florestal,Zona Norte,Média,35,28,Concluído
167,2025-11-30 11:32:05,Nov,11,Incêndio Florestal,Zona Oeste,Baixa,9,27,Concluído
168,2025-08-16 11:32:05,Aug,11,Incêndio em Edifício,Zona Norte,Média,17,47,Concluído
169,2025-04-09 11:32:05,Apr,11,Resgate em Altura,Zona Oeste,Baixa,19,47,Concluído
170,2025-02-21 11:32:05,Feb,11,Resgate em Altura,Região Metropolitana,Baixa,30,42,Concluído
171,2025-05-30 11:32:05,May,11,Resgate em Altura,Região Metropolitana,Alta,7,28,Concluído
172,2025-07-08 11:32:05,Jul,11,Vazamento de Gás,Região Metropolitana,Baixa,9,24,Em Andamento
173,2025-01-25 11:32:05,Jan,11,Acidente Veicular,Zona Oeste,Baixa,14,31,Concluído
174,2025-09-03 11:32:05,Sep,11,APH - Mal Súbito,Zona Norte,Alta,11,54,Em Andamento
175,2025-11-17 11:32:05,Nov,11,Incêndio em Edifício,Centro,Média,19,24,Concluído
176,2025-10-14 11:32:05,Oct,11,Salvamento Aquático,Zona Norte,Baixa,26,39,Concluído
177,2025-11-09 11:32:05,Nov,11,Incêndio Florestal,Zona Sul,Média,23,33,Concluído
178,2025-01-20 11:32:05,Jan,11,Vazamento de Gás,Zona Norte,Média,33,21,Concluído
179,2025-01-25 11:32:05,Jan,11,Salvamento Aquático,Zona Oeste,Baixa,22,17,Concluído
180,2025-08-17 11:32:05,Aug,11,Incêndio em Edifício,Centro,Baixa,1,21,Concluído
181,2025-07-14 11:32:05,Jul,11,Incêndio Florestal,Zona Norte,Média,32,47,Em Andamento
182,2025-01-31 11:32:05,Jan,11,Incêndio em Edifício,Região Metropolitana,Baixa,35,36,Concluído
183,2025-03-14 11:32:05,Mar,11,Incêndio em Edifício,Zona Sul,Alta,6,34,Concluído
184,2025-06-24 11:32:05,Jun,11,Incêndio em Edifício,Centro,Alta,10,39,Cancelado
185,2025-08-13 11:32:05,Aug,11,APH - Mal Súbito,Região Metropolitana,Média,1,60,Cancelado
186,2025-06-16 11:32:05,Jun,11,Incêndio Florestal,Centro,Baixa,16,23,Concluído
187,2025-10-15 11:32:05,Oct,11,Incêndio em Edifício,Zona Norte,Média,21,38,Concluído
188,2025-08-18 11:32:05,Aug,11,Vazamento de Gás,Região Metropolitana,Baixa,15,54,Cancelado
189,2025-04-16 11:32:05,Apr,11,Resgate em Altura,Centro,Média,16,34,Concluído
190,2025-04-15 11:32:05,Apr,11,Vazamento de Gás,Zona Sul,Média,22,41,Concluído
191,2025-05-12 11:32:05,May,11,Incêndio Florestal,Zona Sul,Baixa,32,32,Concluído
192,2025-03-26 11:32:05,Mar,11,Incêndio em Edifício,Zona Oeste,Alta,7,44,Concluído
193,2025-09-25 11:32:05,Sep,11,Incêndio Florestal,Zona Sul,Média,25,32,Concluído
194,2025-03-26 11:32:05,Mar,11,Acidente Veicular,Centro,Média,34,40,Concluído
195,2025-02-25 11:32:05,Feb,11,Incêndio Florestal,Zona Oeste,Média,16,42,Concluído
196,2025-05-21 11:32:05,May,11,Vazamento de Gás,Zona Norte,Média,42,30,Concluído
197,2025-10-30 11:32:05,Oct,11,Resgate em Altura,Zona Sul,Alta,7,24,Concluído
198,2025-06-07 11:32:05,Jun,11,Salvamento Aquático,Zona Sul,Baixa,29,50,Concluído
199,2025-01-09 11:32:05,Jan,11,Salvamento Aquático,Zona Norte,Média,38,38,Concluído
200,2025-08-09 11:32:05,Aug,11,Salvamento Aquático,Centro,Baixa,37,39,Concluído
201,2025-05-22 11:32:05,May,11,Incêndio Florestal,Zona Sul,Média,26,46,Concluído
202,2025-01-13 11:32:05,Jan,11,Acidente Veicular,Zona Oeste,Alta,13,45,Concluído
203,2025-06-02 11:32:05,Jun,11,Resgate em Altura,Centro,Baixa,38,41,Cancelado
204,2025-04-02 11:32:05,Apr,11,Acidente Veicular,Centro,Alta,6,26,Em Andamento
205,2025-03-04 11:32:05,Mar,11,Salvamento Aquático,Zona Oeste,Média,10,14,Em Andamento
206,2025-03-04 11:32:05,Mar,11,Salvamento Aquático,Centro,Baixa,23,56,Concluído
207,2025-08-17 11:32:05,Aug,11,APH - Mal Súbito,Região Metropolitana,Média,21,71,Cancelado
208,2025-04-19 11:32:05,Apr,11,Acidente Veicular,Zona Oeste,Baixa,24,42,Concluído
209,2025-04-27 11:32:05,Apr,11,Incêndio em Edifício,Zona Norte,Alta,8,53,Concluído
210,2025-11-24 11:32:05,Nov,11,Incêndio Florestal,Centro,Alta,8,33,Concluído
211,2025-10-03 11:32:05,Oct,11,Incêndio Florestal,Zona Norte,Média,14,25,Concluído
212,2025-10-17 11:32:05,Oct,11,APH - Mal Súbito,Zona Oeste,Alta,12,66,Concluído
213,2025-07-17 11:32:05,Jul,11,Salvamento Aquático,Zona Norte,Alta,10,2,Concluído
214,2025-01-19 11:32:05,Jan,11,Incêndio Florestal,Zona Sul,Baixa,28,8,Concluído
215,2025-04-14 11:32:05,Apr,11,APH - Mal Súbito,Zona Norte,Média,16,67,Concluído
216,2025-11-28 11:32:05,Nov,11,Incêndio Florestal,Zona Sul,Média,34,7,Concluído
217,2025-06-15 11:32:05,Jun,11,Vazamento de Gás,Zona Sul,Média,41,56,Concluído
218,2025-08-23 11:32:05,Aug,11,Vazamento de Gás,Zona Sul,Baixa,12,46,Em Andamento
219,2025-03-05 11:32:05,Mar,11,Incêndio Florestal,Zona Norte,Média,35,26,Concluído
220,2025-04-16 11:32:05,Apr,11,Salvamento Aquático,Centro,Baixa,27,36,Concluído
221,2025-09-15 11:32:05,Sep,11,Incêndio em Edifício,Região Metropolitana,Alta,7,26,Em Andamento
222,2025-07-25 11:32:05,Jul,11,Acidente Veicular,Zona Norte,Alta,9,57,Concluído
223,2025-07-18 11:32:05,Jul,11,APH - Mal Súbito,Região Metropolitana,Média,17,58,Concluído
224,2025-08-09 11:32:05,Aug,11,Acidente Veicular,Zona Sul,Baixa,29,49,Concluído
225,2025-10-17 11:32:05,Oct,11,APH - Mal Súbito,Região Metropolitana,Média,21,93,Concluído
226,2025-03-31 11:32:05,Mar,11,Salvamento Aquático,Centro,Média,16,7,Concluído
227,2025-11-03 11:32:05,Nov,11,Salvamento Aquático,Zona Norte,Alta,10,20,Concluído
228,2025-01-31 11:32:05,Jan,11,Vazamento de Gás,Zona Norte,Média,33,14,Concluído
229,2025-01-26 11:32:05,Jan,11,APH - Mal Súbito,Zona Sul,Média,29,67,Concluído
230,2025-03-05 11:32:05,Mar,11,Incêndio em Edifício,Zona Oeste,Alta,8,29,Concluído
231,2025-06-17 11:32:05,Jun,11,Incêndio Florestal,Zona Sul,Alta,7,26,Concluído
232,2025-06-29 11:32:05,Jun,11,Resgate em Altura,Zona Norte,Média,20,49,Concluído
233,2025-09-24 11:32:05,Sep,11,Incêndio Florestal,Centro,Média,44,47,Concluído
234,2025-12-03 11:32:05,Dec,11,Resgate em Altura,Zona Norte,Baixa,3,27,Concluído
235,2025-03-31 11:32:05,Mar,11,Resgate em Altura,Zona Norte,Baixa,32,39,Em Andamento
236,2025-08-08 11:32:05,Aug,11,Vazamento de Gás,Centro,Média,37,46,Concluído
237,2025-08-25 11:32:05,Aug,11,Salvamento Aquático,Região Metropolitana,Média,30,70,Concluído
238,2025-09-20 11:32:05,Sep,11,Salvamento Aquático,Região Metropolitana,Média,25,43,Cancelado
239,2025-09-11 11:32:05,Sep,11,Incêndio em Edifício,Zona Sul,Alta,12,21,Concluído
240,2025-10-19 11:32:05,Oct,11,APH - Mal Súbito,Zona Sul,Baixa,24,56,Concluído
241,2025-11-27 11:32:05,Nov,11,Incêndio em Edifício,Zona Norte,Alta,10,42,Concluído
242,2025-10-10 11:32:05,Oct,11,APH - Mal Súbito,Zona Norte,Baixa,27,70,Concluído
243,2025-08-31 11:32:05,Aug,11,Incêndio em Edifício,Centro,Baixa,21,40,Concluído
244,2025-07-03 11:32:05,Jul,11,Salvamento Aquático,Zona Sul,Média,26,39,Concluído
245,2025-10-12 11:32:05,Oct,11,APH - Mal Súbito,Zona Norte,Baixa,16,42,Concluído
246,2025-03-27 11:32:05,Mar,11,Salvamento Aquático,Centro,Baixa,28,70,Concluído
247,2025-08-23 11:32:05,Aug,11,APH - Mal Súbito,Zona Oeste,Baixa,20,57,Concluído
248,2025-01-22 11:32:05,Jan,11,Acidente Veicular,Região Metropolitana,Média,19,42,Concluído
249,2025-03-22 11:32:05,Mar,11,Acidente Veicular,Zona Oeste,Alta,11,25,Concluído
250,2025-05-11 11:32:05,May,11,APH - Mal Súbito,Centro,Baixa,40,40,Concluído
251,2025-03-04 11:32:05,Mar,11,Incêndio Florestal,Zona Oeste,Média,32,64,Concluído
252,2025-09-03 11:32:05,Sep,11,Incêndio Florestal,Região Metropolitana,Alta,4,55,Concluído
253,2025-07-03 11:32:05,Jul,11,Incêndio Florestal,Zona Oeste,Baixa,21,50,Concluído
254,2025-11-12 11:32:05,Nov,11,Resgate em Altura,Centro,Baixa,23,9,Concluído
255,2025-06-04 11:32:05,Jun,11,Incêndio em Edifício,Zona Oeste,Alta,6,1,Concluído
256,2024-12-25 11:32:05,Dec,11,Acidente Veicular,Zona Oeste,Alta,7,19,Concluído
257,2025-11-18 11:32:05,Nov,11,Vazamento de Gás,Centro,Média,34,37,Concluído
258,2024-12-17 11:32:05,Dec,11,Salvamento Aquático,Zona Sul,Média,39,55,Concluído
259,2025-01-17 11:32:05,Jan,11,Incêndio em Edifício,Centro,Alta,10,30,Concluído
260,2025-04-05 11:32:05,Apr,11,Resgate em Altura,Zona Oeste,Baixa,25,46,Concluído
261,2025-11-12 11:32:05,Nov,11,Incêndio Florestal,Zona Sul,Média,6,51,Concluído
262,2025-02-25 11:32:05,Feb,11,Incêndio Florestal,Zona Oeste,Baixa,18,30,Concluído
263,2025-06-03 11:32:05,Jun,11,Incêndio em Edifício,Centro,Alta,9,4,Concluído
264,2025-03-07 11:32:05,Mar,11,Vazamento de Gás,Zona Norte,Média,22,33,Concluído
265,2025-10-02 11:32:05,Oct,11,Incêndio em Edifício,Centro,Baixa,55,20,Concluído
266,2025-09-28 11:32:05,Sep,11,Incêndio em Edifício,Zona Oeste,Alta,9,30,Concluído
267,2025-05-31 11:32:05,May,11,Acidente Veicular,Zona Oeste,Alta,8,4,Concluído
268,2025-11-22 11:32:05,Nov,11,Salvamento Aquático,Zona Sul,Média,23,48,Concluído
269,2025-11-19 11:32:05,Nov,11,Vazamento de Gás,Centro,Baixa,23,28,Concluído
270,2025-04-08 11:32:05,Apr,11,Vazamento de Gás,Zona Sul,Baixa,27,64,Cancelado
271,2025-02-25 11:32:05,Feb,11,APH - Mal Súbito,Zona Norte,Baixa,27,37,Concluído
272,2025-07-01 11:32:05,Jul,11,Salvamento Aquático,Zona Oeste,Alta,11,20,Em Andamento
